year,wind_gw,electricity_twh,gas_price_usd_per_mmbtu,lcoe_usd_per_mwh
1997,4.81,3389.4,2.74,172
1998,6.383,3466.6,2.42,161
1999,9.28,3510.2,2.13,159
2000,12.773,3619.4,3.86,170
2001,17.412,3685.1,4.06,149
2002,23.307,3719.3,3.05,138
2003,28.171,3811,3.91,121
2004,34.338,3895.8,4.28,123
2005,40.704,3958.6,6.33,115
2006,47.977,4014.9,8.47,118
2007,56.485,4064,8.56,108
2008,64.417,4087.4,13.41,113
2009,76.595,3894.4,8.71,111
2010,86.23,4064.8,8.29,107
2011,96.438,4021,10.52,102
2012,109.448,4052.9,11.47,93
2013,120.927,4021.9,11.79,94
2014,133.819,3938.9,10.05,84
2015,147.495,3983.6,6.82,73
2016,161.436,4022.5,4.56,67
2017,177.068,4062.6,5.72,63
2018,188.721,4065.8,7.68,54
2019,203.61,3998.1,4.8,47
2020,216.638,3880.6,3.24,39
2021,232.022,4042.2,16.12,35
2022,251.629,3903.2,40.34,33
