	Natural gas, Europe
	($/mmbtu)
1960	0.40
1961	0.40
1962	0.40
1963	0.39
1964	0.38
1965	0.41
1966	0.42
1967	0.46
1968	0.45
1969	0.45
1970	0.45
1971	0.50
1972	0.54
1973	0.69
1974	1.73
1975	1.68
1976	1.74
1977	1.79
1978	2.30
1979	3.26
1980	4.22
1981	4.60
1982	4.45
1983	4.05
1984	3.76
1985	3.65
1986	3.65
1987	2.59
1988	2.36
1989	2.09
1990	2.82
1991	3.11
1992	2.56
1993	2.67
1994	2.44
1995	2.73
1996	2.84
1997	2.74
1998	2.42
1999	2.13
2000	3.86
2001	4.06
2002	3.05
2003	3.91
2004	4.28
2005	6.33
2006	8.47
2007	8.56
2008	13.41
2009	8.71
2010	8.29
2011	10.52
2012	11.47
2013	11.79
2014	10.05
2015	6.82
2016	4.56
2017	5.72
2018	7.68
2019	4.80
2020	3.24
2021	16.12
2022	40.34
2023	13.11
2024	10.96
2025	11.96
