LCOE (2022 USD/kWh)	
Year	Weighted average
1984	0.339
1985	0.315
1986	0.280
1987	0.272
1988	0.224
1989	0.207
1990	0.220
1991	0.212
1992	0.212
1993	0.223
1994	0.210
1995	0.219
1996	0.196
1997	0.172
1998	0.161
1999	0.159
2000	0.170
2001	0.149
2002	0.138
2003	0.121
2004	0.123
2005	0.115
2006	0.118
2007	0.108
2008	0.113
2009	0.111
2010	0.107
2011	0.102
2012	0.093
2013	0.094
2014	0.084
2015	0.073
2016	0.067
2017	0.063
2018	0.054
2019	0.047
2020	0.039
2021	0.035
2022	0.033
